id,n_sentences,input,answer
11,16,"The delegation travelled from Kenya to Chile before the summit. Exports from Chile rose sharply while Sweden reported a decline. Greece and Spain signed a joint statement on trade. The documentary contrasted life in China with that in Egypt. After leaving Chile, the group spent three weeks in Norway. The delegation travelled from Australia to China before the summit. After leaving Japan, the group spent three weeks in Sweden. Researchers in India collaborated with a team based in Kenya. Exports from Norway rose sharply while Japan reported a decline. Brazil and Spain signed a joint statement on trade. Australia and Kenya signed a joint statement on trade. After leaving France, the group spent three weeks in Italy. The documentary contrasted life in Germany with that in Kenya. The documentary contrasted life in Chile with that in Norway. After leaving France, the group spent three weeks in Italy. Researchers in Sweden collaborated with a team based in Mexico.","{""Australia"": 2, ""Brazil"": 1, ""Chile"": 4, ""China"": 2, ""Egypt"": 1, ""France"": 2, ""Germany"": 1, ""Greece"": 1, ""India"": 1, ""Italy"": 2, ""Japan"": 2, ""Kenya"": 4, ""Mexico"": 1, ""Norway"": 3, ""Spain"": 2, ""Sweden"": 3}"
12,16,"The documentary contrasted life in Brazil with that in Kenya. Researchers in Brazil collaborated with a team based in Egypt. Exports from Kenya rose sharply while Spain reported a decline. Exports from France rose sharply while Chile reported a decline. Exports from Australia rose sharply while Argentina reported a decline. Researchers in Peru collaborated with a team based in Argentina. The documentary contrasted life in Germany with that in Canada. Mexico and France signed a joint statement on trade. The documentary contrasted life in Kenya with that in Spain. Exports from Sweden rose sharply while Canada reported a decline. After leaving Australia, the group spent three weeks in Germany. Exports from Japan rose sharply while India reported a decline. Exports from Poland rose sharply while China reported a decline. Exports from France rose sharply while Sweden reported a decline. Exports from Greece rose sharply while Spain reported a decline. Researchers in Australia collaborated with a team based in Egypt.","{""Argentina"": 2, ""Australia"": 3, ""Brazil"": 2, ""Canada"": 2, ""Chile"": 1, ""China"": 1, ""Egypt"": 2, ""France"": 3, ""Germany"": 2, ""Greece"": 1, ""India"": 1, ""Japan"": 1, ""Kenya"": 3, ""Mexico"": 1, ""Peru"": 1, ""Poland"": 1, ""Spain"": 3, ""Sweden"": 2}"
13,16,"The documentary contrasted life in Japan with that in France. Exports from Mexico rose sharply while Peru reported a decline. After leaving Australia, the group spent three weeks in Canada. The documentary contrasted life in China with that in Peru. The documentary contrasted life in Argentina with that in Egypt. The delegation travelled from Italy to Brazil before the summit. The delegation travelled from Australia to Canada before the summit. The documentary contrasted life in France with that in Sweden. After leaving Canada, the group spent three weeks in Italy. After leaving Mexico, the group spent three weeks in Italy. Exports from Canada rose sharply while Chile reported a decline. The delegation travelled from Kenya to Peru before the summit. The documentary contrasted life in China with that in Egypt. Researchers in China collaborated with a team based in Peru. After leaving Poland, the group spent three weeks in Chile. The documentary contrasted life in China with that in Greece.","{""Argentina"": 1, ""Australia"": 2, ""Brazil"": 1, ""Canada"": 4, ""Chile"": 2, ""China"": 4, ""Egypt"": 2, ""France"": 2, ""Greece"": 1, ""Italy"": 3, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 2, ""Peru"": 4, ""Poland"": 1, ""Sweden"": 1}"
14,16,"The delegation travelled from Germany to Peru before the summit. Exports from Mexico rose sharply while Poland reported a decline. Argentina and Spain signed a joint statement on trade. Exports from Poland rose sharply while India reported a decline. Exports from China rose sharply while Greece reported a decline. Exports from Spain rose sharply while Brazil reported a decline. Spain and Japan signed a joint statement on trade. After leaving Australia, the group spent three weeks in Germany. The delegation travelled from Peru to China before the summit. Researchers in Spain collaborated with a team based in Chile. Researchers in Canada collaborated with a team based in Norway. The documentary contrasted life in Chile with that in India. The delegation travelled from Mexico to Argentina before the summit. The documentary contrasted life in Brazil with that in India. Italy and France signed a joint statement on trade. The delegation travelled from Mexico to Canada before the summit.","{""Argentina"": 2, ""Australia"": 1, ""Brazil"": 2, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""France"": 1, ""Germany"": 2, ""Greece"": 1, ""India"": 3, ""Italy"": 1, ""Japan"": 1, ""Mexico"": 3, ""Norway"": 1, ""Peru"": 2, ""Poland"": 2, ""Spain"": 4}"
15,16,"The delegation travelled from Sweden to Germany before the summit. The documentary contrasted life in Greece with that in Poland. Exports from Chile rose sharply while Poland reported a decline. The documentary contrasted life in Greece with that in India. Exports from Mexico rose sharply while Kenya reported a decline. Exports from Italy rose sharply while Argentina reported a decline. The documentary contrasted life in China with that in Australia. Researchers in India collaborated with a team based in Brazil. After leaving France, the group spent three weeks in Mexico. Researchers in France collaborated with a team based in Argentina. Researchers in Mexico collaborated with a team based in France. The documentary contrasted life in Poland with that in Greece. Peru and Chile signed a joint statement on trade. The documentary contrasted life in Spain with that in Sweden. After leaving France, the group spent three weeks in Argentina. Researchers in Argentina collaborated with a team based in Greece.","{""Argentina"": 4, ""Australia"": 1, ""Brazil"": 1, ""Chile"": 2, ""China"": 1, ""France"": 4, ""Germany"": 1, ""Greece"": 4, ""India"": 2, ""Italy"": 1, ""Kenya"": 1, ""Mexico"": 3, ""Peru"": 1, ""Poland"": 3, ""Spain"": 1, ""Sweden"": 2}"
16,16,"Exports from France rose sharply while Greece reported a decline. Argentina and Germany signed a joint statement on trade. Researchers in Sweden collaborated with a team based in Brazil. After leaving Germany, the group spent three weeks in Egypt. The documentary contrasted life in India with that in China. Exports from China rose sharply while Poland reported a decline. Exports from China rose sharply while Spain reported a decline. Researchers in Norway collaborated with a team based in Germany. Researchers in Norway collaborated with a team based in Egypt. After leaving Poland, the group spent three weeks in Japan. Researchers in India collaborated with a team based in Germany. Poland and Germany signed a joint statement on trade. The documentary contrasted life in Chile with that in Australia. After leaving Argentina, the group spent three weeks in Peru. Japan and Germany signed a joint statement on trade. Chile and Germany signed a joint statement on trade.","{""Argentina"": 2, ""Australia"": 1, ""Brazil"": 1, ""Chile"": 2, ""China"": 3, ""Egypt"": 2, ""France"": 1, ""Germany"": 7, ""Greece"": 1, ""India"": 2, ""Japan"": 2, ""Norway"": 2, ""Peru"": 1, ""Poland"": 3, ""Spain"": 1, ""Sweden"": 1}"
17,16,"The delegation travelled from Argentina to Egypt before the summit. Exports from Germany rose sharply while Australia reported a decline. Norway and Japan signed a joint statement on trade. Exports from China rose sharply while France reported a decline. The delegation travelled from Sweden to Spain before the summit. Exports from Australia rose sharply while Egypt reported a decline. Exports from Mexico rose sharply while Chile reported a decline. Chile and Peru signed a joint statement on trade. The delegation travelled from Sweden to Australia before the summit. After leaving Canada, the group spent three weeks in Peru. After leaving Germany, the group spent three weeks in Greece. Japan and Brazil signed a joint statement on trade. The documentary contrasted life in Sweden with that in Canada. Australia and Greece signed a joint statement on trade. Researchers in Norway collaborated with a team based in France. Researchers in Mexico collaborated with a team based in China.","{""Argentina"": 1, ""Australia"": 4, ""Brazil"": 1, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""Egypt"": 2, ""France"": 2, ""Germany"": 2, ""Greece"": 2, ""Japan"": 2, ""Mexico"": 2, ""Norway"": 2, ""Peru"": 2, ""Spain"": 1, ""Sweden"": 3}"
18,16,"India and France signed a joint statement on trade. Researchers in Egypt collaborated with a team based in Japan. Exports from Poland rose sharply while Spain reported a decline. The delegation travelled from Chile to Norway before the summit. Exports from Poland rose sharply while Australia reported a decline. Researchers in Argentina collaborated with a team based in Peru. Researchers in Argentina collaborated with a team based in Japan. Italy and Chile signed a joint statement on trade. Sweden and Australia signed a joint statement on trade. The documentary contrasted life in Egypt with that in China. Researchers in Spain collaborated with a team based in Peru. After leaving Egypt, the group spent three weeks in Italy. Exports from Japan rose sharply while Poland reported a decline. After leaving Kenya, the group spent three weeks in Australia. The documentary contrasted life in Brazil with that in Argentina. The documentary contrasted life in Italy with that in Argentina.","{""Argentina"": 4, ""Australia"": 3, ""Brazil"": 1, ""Chile"": 2, ""China"": 1, ""Egypt"": 3, ""France"": 1, ""India"": 1, ""Italy"": 3, ""Japan"": 3, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 2, ""Poland"": 3, ""Spain"": 2, ""Sweden"": 1}"
19,16,"The delegation travelled from Kenya to India before the summit. The documentary contrasted life in Japan with that in Peru. The documentary contrasted life in Australia with that in China. The documentary contrasted life in Canada with that in Norway. The delegation travelled from Peru to Kenya before the summit. Exports from Chile rose sharply while Egypt reported a decline. The delegation travelled from Peru to Sweden before the summit. After leaving Argentina, the group spent three weeks in Canada. Researchers in Egypt collaborated with a team based in India. The delegation travelled from China to Norway before the summit. The delegation travelled from China to Australia before the summit. The documentary contrasted life in Germany with that in Mexico. After leaving Brazil, the group spent three weeks in Peru. Italy and France signed a joint statement on trade. Researchers in Japan collaborated with a team based in India. The documentary contrasted life in Chile with that in Mexico.","{""Argentina"": 1, ""Australia"": 2, ""Brazil"": 1, ""Canada"": 2, ""Chile"": 2, ""China"": 3, ""Egypt"": 2, ""France"": 1, ""Germany"": 1, ""India"": 3, ""Italy"": 1, ""Japan"": 2, ""Kenya"": 2, ""Mexico"": 2, ""Norway"": 2, ""Peru"": 4, ""Sweden"": 1}"
20,16,"Researchers in Greece collaborated with a team based in Mexico. The delegation travelled from Spain to Peru before the summit. Researchers in China collaborated with a team based in Spain. The delegation travelled from Australia to Japan before the summit. Researchers in Italy collaborated with a team based in France. The delegation travelled from Canada to Italy before the summit. The documentary contrasted life in Kenya with that in Canada. Spain and Mexico signed a joint statement on trade. The documentary contrasted life in Peru with that in Japan. Exports from Norway rose sharply while Germany reported a decline. Sweden and Peru signed a joint statement on trade. After leaving Peru, the group spent three weeks in Italy. Australia and Spain signed a joint statement on trade. The documentary contrasted life in Poland with that in Japan. Australia and Mexico signed a joint statement on trade. The documentary contrasted life in Greece with that in Kenya.","{""Australia"": 3, ""Canada"": 2, ""China"": 1, ""France"": 1, ""Germany"": 1, ""Greece"": 2, ""Italy"": 3, ""Japan"": 3, ""Kenya"": 2, ""Mexico"": 3, ""Norway"": 1, ""Peru"": 4, ""Poland"": 1, ""Spain"": 4, ""Sweden"": 1}"
21,16,"Researchers in Italy collaborated with a team based in India. After leaving Sweden, the group spent three weeks in Kenya. The documentary contrasted life in Norway with that in Australia. The documentary contrasted life in Mexico with that in Brazil. Brazil and Mexico signed a joint statement on trade. Norway and Italy signed a joint statement on trade. The delegation travelled from Poland to Mexico before the summit. Researchers in Australia collaborated with a team based in Spain. Researchers in Peru collaborated with a team based in Kenya. After leaving Argentina, the group spent three weeks in Norway. Exports from Canada rose sharply while Mexico reported a decline. The delegation travelled from Japan to Italy before the summit. The documentary contrasted life in Canada with that in China. The delegation travelled from Peru to Sweden before the summit. Researchers in Spain collaborated with a team based in Norway. The documentary contrasted life in Greece with that in Poland.","{""Argentina"": 1, ""Australia"": 2, ""Brazil"": 2, ""Canada"": 2, ""China"": 1, ""Greece"": 1, ""India"": 1, ""Italy"": 3, ""Japan"": 1, ""Kenya"": 2, ""Mexico"": 4, ""Norway"": 4, ""Peru"": 2, ""Poland"": 2, ""Spain"": 2, ""Sweden"": 2}"
22,16,"Researchers in Brazil collaborated with a team based in Poland. The delegation travelled from Norway to Canada before the summit. Researchers in Egypt collaborated with a team based in Greece. The delegation travelled from Greece to China before the summit. Researchers in Italy collaborated with a team based in Japan. Researchers in Norway collaborated with a team based in France. Researchers in Spain collaborated with a team based in Mexico. Exports from Peru rose sharply while Brazil reported a decline. The delegation travelled from Japan to China before the summit. The documentary contrasted life in Germany with that in Australia. The delegation travelled from Norway to Canada before the summit. Chile and Italy signed a joint statement on trade. Researchers in Egypt collaborated with a team based in China. The documentary contrasted life in Greece with that in Chile. The delegation travelled from India to Chile before the summit. After leaving India, the group spent three weeks in Greece.","{""Australia"": 1, ""Brazil"": 2, ""Canada"": 2, ""Chile"": 3, ""China"": 3, ""Egypt"": 2, ""France"": 1, ""Germany"": 1, ""Greece"": 4, ""India"": 2, ""Italy"": 2, ""Japan"": 2, ""Mexico"": 1, ""Norway"": 3, ""Peru"": 1, ""Poland"": 1, ""Spain"": 1}"
23,16,"The delegation travelled from Norway to Italy before the summit. Exports from Australia rose sharply while Egypt reported a decline. Researchers in Peru collaborated with a team based in Kenya. After leaving Mexico, the group spent three weeks in France. The documentary contrasted life in Chile with that in Egypt. Exports from Italy rose sharply while India reported a decline. Researchers in Argentina collaborated with a team based in Chile. After leaving Peru, the group spent three weeks in Brazil. Researchers in Egypt collaborated with a team based in Norway. Researchers in Japan collaborated with a team based in Peru. The delegation travelled from Chile to Poland before the summit. After leaving Brazil, the group spent three weeks in Australia. Exports from Argentina rose sharply while Kenya reported a decline. Researchers in Norway collaborated with a team based in Kenya. The delegation travelled from Germany to Greece before the summit. Researchers in Poland collaborated with a team based in Brazil.","{""Argentina"": 2, ""Australia"": 2, ""Brazil"": 3, ""Chile"": 3, ""Egypt"": 3, ""France"": 1, ""Germany"": 1, ""Greece"": 1, ""India"": 1, ""Italy"": 2, ""Japan"": 1, ""Kenya"": 3, ""Mexico"": 1, ""Norway"": 3, ""Peru"": 3, ""Poland"": 2}"
24,16,"Researchers in Italy collaborated with a team based in Argentina. After leaving Canada, the group spent three weeks in Poland. The delegation travelled from Mexico to Kenya before the summit. The documentary contrasted life in Mexico with that in France. The documentary contrasted life in Mexico with that in France. Italy and Sweden signed a joint statement on trade. The delegation travelled from Germany to China before the summit. The delegation travelled from Greece to India before the summit. The delegation travelled from Chile to Spain before the summit. After leaving Spain, the group spent three weeks in Peru. Germany and Chile signed a joint statement on trade. Chile and Argentina signed a joint statement on trade. Exports from Greece rose sharply while Spain reported a decline. The delegation travelled from Chile to Norway before the summit. Mexico and Egypt signed a joint statement on trade. The documentary contrasted life in France with that in Australia.","{""Argentina"": 2, ""Australia"": 1, ""Canada"": 1, ""Chile"": 4, ""China"": 1, ""Egypt"": 1, ""France"": 3, ""Germany"": 2, ""Greece"": 2, ""India"": 1, ""Italy"": 2, ""Kenya"": 1, ""Mexico"": 4, ""Norway"": 1, ""Peru"": 1, ""Poland"": 1, ""Spain"": 3, ""Sweden"": 1}"
25,16,"The delegation travelled from Greece to Italy before the summit. Researchers in Italy collaborated with a team based in Germany. The delegation travelled from Argentina to Poland before the summit. The documentary contrasted life in Mexico with that in Greece. Researchers in Germany collaborated with a team based in France. After leaving Poland, the group spent three weeks in Argentina. The documentary contrasted life in Spain with that in Italy. Exports from Norway rose sharply while Japan reported a decline. The documentary contrasted life in Sweden with that in Germany. Researchers in Argentina collaborated with a team based in Canada. The documentary contrasted life in China with that in Chile. The delegation travelled from Greece to Argentina before the summit. Exports from Greece rose sharply while Chile reported a decline. Exports from Argentina rose sharply while Mexico reported a decline. Exports from Mexico rose sharply while China reported a decline. Exports from Egypt rose sharply while Canada reported a decline.","{""Argentina"": 5, ""Canada"": 2, ""Chile"": 2, ""China"": 2, ""Egypt"": 1, ""France"": 1, ""Germany"": 3, ""Greece"": 4, ""Italy"": 3, ""Japan"": 1, ""Mexico"": 3, ""Norway"": 1, ""Poland"": 2, ""Spain"": 1, ""Sweden"": 1}"
26,16,"The documentary contrasted life in Norway with that in Greece. The documentary contrasted life in Brazil with that in Chile. The delegation travelled from Norway to Sweden before the summit. Sweden and Italy signed a joint statement on trade. Researchers in Canada collaborated with a team based in Kenya. The documentary contrasted life in China with that in Norway. The documentary contrasted life in Mexico with that in Japan. China and Japan signed a joint statement on trade. Researchers in India collaborated with a team based in Sweden. After leaving Japan, the group spent three weeks in France. Researchers in Sweden collaborated with a team based in India. Exports from Canada rose sharply while Kenya reported a decline. The documentary contrasted life in Italy with that in Brazil. The delegation travelled from Spain to Norway before the summit. The documentary contrasted life in Greece with that in Argentina. Australia and France signed a joint statement on trade.","{""Argentina"": 1, ""Australia"": 1, ""Brazil"": 2, ""Canada"": 2, ""Chile"": 1, ""China"": 2, ""France"": 2, ""Greece"": 2, ""India"": 2, ""Italy"": 2, ""Japan"": 3, ""Kenya"": 2, ""Mexico"": 1, ""Norway"": 4, ""Spain"": 1, ""Sweden"": 4}"
27,16,"Researchers in Peru collaborated with a team based in Sweden. Researchers in Chile collaborated with a team based in Spain. Exports from Kenya rose sharply while Japan reported a decline. Brazil and Sweden signed a joint statement on trade. The delegation travelled from Canada to Peru before the summit. After leaving Mexico, the group spent three weeks in Germany. The documentary contrasted life in France with that in Spain. Exports from Spain rose sharply while Italy reported a decline. The delegation travelled from Greece to Australia before the summit. The delegation travelled from Poland to Spain before the summit. The delegation travelled from Canada to France before the summit. After leaving Egypt, the group spent three weeks in Canada. Exports from Sweden rose sharply while Egypt reported a decline. The documentary contrasted life in Greece with that in Japan. The delegation travelled from Peru to Mexico before the summit. The documentary contrasted life in Chile with that in Argentina.","{""Argentina"": 1, ""Australia"": 1, ""Brazil"": 1, ""Canada"": 3, ""Chile"": 2, ""Egypt"": 2, ""France"": 2, ""Germany"": 1, ""Greece"": 2, ""Italy"": 1, ""Japan"": 2, ""Kenya"": 1, ""Mexico"": 2, ""Peru"": 3, ""Poland"": 1, ""Spain"": 4, ""Sweden"": 3}"
