id,n_sentences,input,answer
12,4,"After leaving Brazil, the group spent three weeks in Poland. Researchers in China collaborated with a team based in Egypt. The documentary contrasted life in Spain with that in Mexico. Exports from Sweden rose sharply while Japan reported a decline.","{""Brazil"": 1, ""China"": 1, ""Egypt"": 1, ""Japan"": 1, ""Mexico"": 1, ""Poland"": 1, ""Spain"": 1, ""Sweden"": 1}"
13,4,"After leaving Egypt, the group spent three weeks in Mexico. The delegation travelled from Norway to Kenya before the summit. Researchers in Italy collaborated with a team based in Brazil. After leaving Italy, the group spent three weeks in Poland.","{""Brazil"": 1, ""Egypt"": 1, ""Italy"": 2, ""Kenya"": 1, ""Mexico"": 1, ""Norway"": 1, ""Poland"": 1}"
14,4,"After leaving Poland, the group spent three weeks in France. The documentary contrasted life in Brazil with that in Poland. Exports from France rose sharply while Peru reported a decline. The delegation travelled from Egypt to Spain before the summit.","{""Brazil"": 1, ""Egypt"": 1, ""France"": 2, ""Peru"": 1, ""Poland"": 2, ""Spain"": 1}"
15,4,The delegation travelled from Egypt to China before the summit. Researchers in Norway collaborated with a team based in Egypt. Egypt and Mexico signed a joint statement on trade. The documentary contrasted life in Egypt with that in Sweden.,"{""China"": 1, ""Egypt"": 4, ""Mexico"": 1, ""Norway"": 1, ""Sweden"": 1}"
16,4,The delegation travelled from Argentina to Norway before the summit. Researchers in Kenya collaborated with a team based in Sweden. The documentary contrasted life in Canada with that in Argentina. Argentina and Japan signed a joint statement on trade.,"{""Argentina"": 3, ""Canada"": 1, ""Japan"": 1, ""Kenya"": 1, ""Norway"": 1, ""Sweden"": 1}"
17,4,"The delegation travelled from China to Spain before the summit. After leaving Chile, the group spent three weeks in China. Researchers in Brazil collaborated with a team based in Egypt. Researchers in Brazil collaborated with a team based in India.","{""Brazil"": 2, ""Chile"": 1, ""China"": 2, ""Egypt"": 1, ""India"": 1, ""Spain"": 1}"
18,4,"Norway and Egypt signed a joint statement on trade. Japan and Chile signed a joint statement on trade. Exports from Sweden rose sharply while Norway reported a decline. After leaving Greece, the group spent three weeks in Egypt.","{""Chile"": 1, ""Egypt"": 2, ""Greece"": 1, ""Japan"": 1, ""Norway"": 2, ""Sweden"": 1}"
19,4,The documentary contrasted life in Germany with that in Brazil. Canada and Peru signed a joint statement on trade. Kenya and Norway signed a joint statement on trade. Exports from China rose sharply while Sweden reported a decline.,"{""Brazil"": 1, ""Canada"": 1, ""China"": 1, ""Germany"": 1, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 1, ""Sweden"": 1}"
20,4,The documentary contrasted life in Mexico with that in Peru. The documentary contrasted life in Sweden with that in Chile. Argentina and Spain signed a joint statement on trade. Japan and Argentina signed a joint statement on trade.,"{""Argentina"": 2, ""Chile"": 1, ""Japan"": 1, ""Mexico"": 1, ""Peru"": 1, ""Spain"": 1, ""Sweden"": 1}"
21,4,"After leaving Canada, the group spent three weeks in Norway. Egypt and Argentina signed a joint statement on trade. Exports from Australia rose sharply while Kenya reported a decline. Researchers in Canada collaborated with a team based in Peru.","{""Argentina"": 1, ""Australia"": 1, ""Canada"": 2, ""Egypt"": 1, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 1}"
22,4,"After leaving India, the group spent three weeks in Germany. Germany and Spain signed a joint statement on trade. The delegation travelled from Germany to Norway before the summit. Exports from China rose sharply while Brazil reported a decline.","{""Brazil"": 1, ""China"": 1, ""Germany"": 3, ""India"": 1, ""Norway"": 1, ""Spain"": 1}"
23,4,The delegation travelled from Sweden to Mexico before the summit. Egypt and Norway signed a joint statement on trade. Exports from Egypt rose sharply while Argentina reported a decline. The delegation travelled from Australia to Norway before the summit.,"{""Argentina"": 1, ""Australia"": 1, ""Egypt"": 2, ""Mexico"": 1, ""Norway"": 2, ""Sweden"": 1}"
24,4,The documentary contrasted life in France with that in Japan. Norway and Argentina signed a joint statement on trade. The delegation travelled from Poland to Japan before the summit. The documentary contrasted life in Peru with that in Argentina.,"{""Argentina"": 2, ""France"": 1, ""Japan"": 2, ""Norway"": 1, ""Peru"": 1, ""Poland"": 1}"
25,4,India and Norway signed a joint statement on trade. Exports from Kenya rose sharply while Greece reported a decline. The documentary contrasted life in Greece with that in Kenya. Researchers in Chile collaborated with a team based in India.,"{""Chile"": 1, ""Greece"": 2, ""India"": 2, ""Kenya"": 2, ""Norway"": 1}"
26,4,Argentina and Egypt signed a joint statement on trade. The documentary contrasted life in Italy with that in Chile. Researchers in China collaborated with a team based in France. Researchers in France collaborated with a team based in Egypt.,"{""Argentina"": 1, ""Chile"": 1, ""China"": 1, ""Egypt"": 2, ""France"": 2, ""Italy"": 1}"
27,4,"Researchers in Egypt collaborated with a team based in Canada. After leaving India, the group spent three weeks in Japan. Exports from Brazil rose sharply while Egypt reported a decline. The documentary contrasted life in Egypt with that in Greece.","{""Brazil"": 1, ""Canada"": 1, ""Egypt"": 3, ""Greece"": 1, ""India"": 1, ""Japan"": 1}"
28,4,"After leaving Brazil, the group spent three weeks in China. Exports from Chile rose sharply while Egypt reported a decline. The delegation travelled from Poland to Spain before the summit. India and Canada signed a joint statement on trade.","{""Brazil"": 1, ""Canada"": 1, ""Chile"": 1, ""China"": 1, ""Egypt"": 1, ""India"": 1, ""Poland"": 1, ""Spain"": 1}"
29,4,"The delegation travelled from Poland to Chile before the summit. The delegation travelled from Greece to Germany before the summit. Greece and Italy signed a joint statement on trade. After leaving Germany, the group spent three weeks in Poland.","{""Chile"": 1, ""Germany"": 2, ""Greece"": 2, ""Italy"": 1, ""Poland"": 2}"
30,4,Researchers in Italy collaborated with a team based in China. Researchers in Spain collaborated with a team based in Germany. Peru and Kenya signed a joint statement on trade. The delegation travelled from Peru to Kenya before the summit.,"{""China"": 1, ""Germany"": 1, ""Italy"": 1, ""Kenya"": 2, ""Peru"": 2, ""Spain"": 1}"
31,4,The delegation travelled from France to Greece before the summit. Researchers in France collaborated with a team based in Norway. The delegation travelled from Australia to Sweden before the summit. The documentary contrasted life in Australia with that in Argentina.,"{""Argentina"": 1, ""Australia"": 2, ""France"": 2, ""Greece"": 1, ""Norway"": 1, ""Sweden"": 1}"
32,4,India and Greece signed a joint statement on trade. Norway and Japan signed a joint statement on trade. Exports from Sweden rose sharply while Peru reported a decline. Researchers in Canada collaborated with a team based in Kenya.,"{""Canada"": 1, ""Greece"": 1, ""India"": 1, ""Japan"": 1, ""Kenya"": 1, ""Norway"": 1, ""Peru"": 1, ""Sweden"": 1}"
33,4,Brazil and Italy signed a joint statement on trade. The documentary contrasted life in Poland with that in Argentina. Researchers in Sweden collaborated with a team based in China. France and Greece signed a joint statement on trade.,"{""Argentina"": 1, ""Brazil"": 1, ""China"": 1, ""France"": 1, ""Greece"": 1, ""Italy"": 1, ""Poland"": 1, ""Sweden"": 1}"
34,4,"Researchers in Poland collaborated with a team based in Kenya. After leaving Italy, the group spent three weeks in Norway. India and France signed a joint statement on trade. The delegation travelled from Australia to Argentina before the summit.","{""Argentina"": 1, ""Australia"": 1, ""France"": 1, ""India"": 1, ""Italy"": 1, ""Kenya"": 1, ""Norway"": 1, ""Poland"": 1}"
35,4,The documentary contrasted life in Egypt with that in Argentina. The delegation travelled from Spain to India before the summit. Chile and Italy signed a joint statement on trade. The delegation travelled from Poland to France before the summit.,"{""Argentina"": 1, ""Chile"": 1, ""Egypt"": 1, ""France"": 1, ""India"": 1, ""Italy"": 1, ""Poland"": 1, ""Spain"": 1}"
36,4,"The documentary contrasted life in Australia with that in Greece. The documentary contrasted life in France with that in Greece. After leaving Norway, the group spent three weeks in Brazil. After leaving China, the group spent three weeks in India.","{""Australia"": 1, ""Brazil"": 1, ""China"": 1, ""France"": 1, ""Greece"": 2, ""India"": 1, ""Norway"": 1}"
37,4,"The documentary contrasted life in Italy with that in Peru. The documentary contrasted life in Australia with that in Chile. After leaving Canada, the group spent three weeks in Japan. After leaving Brazil, the group spent three weeks in Canada.","{""Australia"": 1, ""Brazil"": 1, ""Canada"": 2, ""Chile"": 1, ""Italy"": 1, ""Japan"": 1, ""Peru"": 1}"
38,4,"After leaving Germany, the group spent three weeks in Argentina. Exports from Japan rose sharply while Australia reported a decline. Exports from Australia rose sharply while France reported a decline. Exports from Spain rose sharply while Chile reported a decline.","{""Argentina"": 1, ""Australia"": 2, ""Chile"": 1, ""France"": 1, ""Germany"": 1, ""Japan"": 1, ""Spain"": 1}"
39,4,"Exports from Spain rose sharply while Brazil reported a decline. The documentary contrasted life in Sweden with that in Australia. After leaving Kenya, the group spent three weeks in India. After leaving Kenya, the group spent three weeks in Italy.","{""Australia"": 1, ""Brazil"": 1, ""India"": 1, ""Italy"": 1, ""Kenya"": 2, ""Spain"": 1, ""Sweden"": 1}"
40,4,Poland and Chile signed a joint statement on trade. The delegation travelled from Poland to Canada before the summit. The documentary contrasted life in Peru with that in Sweden. Researchers in Italy collaborated with a team based in Peru.,"{""Canada"": 1, ""Chile"": 1, ""Italy"": 1, ""Peru"": 2, ""Poland"": 2, ""Sweden"": 1}"
41,4,The delegation travelled from Chile to China before the summit. China and India signed a joint statement on trade. Exports from Chile rose sharply while Argentina reported a decline. The documentary contrasted life in France with that in Germany.,"{""Argentina"": 1, ""Chile"": 2, ""China"": 2, ""France"": 1, ""Germany"": 1, ""India"": 1}"
42,4,Researchers in Brazil collaborated with a team based in Germany. Researchers in Poland collaborated with a team based in China. Italy and Germany signed a joint statement on trade. Exports from Poland rose sharply while Canada reported a decline.,"{""Brazil"": 1, ""Canada"": 1, ""China"": 1, ""Germany"": 2, ""Italy"": 1, ""Poland"": 2}"
43,4,Exports from France rose sharply while Japan reported a decline. Researchers in Australia collaborated with a team based in Argentina. Norway and Spain signed a joint statement on trade. The delegation travelled from Canada to China before the summit.,"{""Argentina"": 1, ""Australia"": 1, ""Canada"": 1, ""China"": 1, ""France"": 1, ""Japan"": 1, ""Norway"": 1, ""Spain"": 1}"
44,4,"Japan and Peru signed a joint statement on trade. After leaving Japan, the group spent three weeks in Germany. Exports from Kenya rose sharply while Peru reported a decline. Researchers in Sweden collaborated with a team based in Mexico.","{""Germany"": 1, ""Japan"": 2, ""Kenya"": 1, ""Mexico"": 1, ""Peru"": 2, ""Sweden"": 1}"
45,4,"Researchers in Australia collaborated with a team based in Greece. After leaving Mexico, the group spent three weeks in Sweden. Exports from Spain rose sharply while Peru reported a decline. Exports from Peru rose sharply while Germany reported a decline.","{""Australia"": 1, ""Germany"": 1, ""Greece"": 1, ""Mexico"": 1, ""Peru"": 2, ""Spain"": 1, ""Sweden"": 1}"
46,4,"After leaving Germany, the group spent three weeks in Australia. Chile and Mexico signed a joint statement on trade. Exports from India rose sharply while Greece reported a decline. Exports from Brazil rose sharply while China reported a decline.","{""Australia"": 1, ""Brazil"": 1, ""Chile"": 1, ""China"": 1, ""Germany"": 1, ""Greece"": 1, ""India"": 1, ""Mexico"": 1}"
47,4,"After leaving Kenya, the group spent three weeks in Argentina. After leaving Egypt, the group spent three weeks in Australia. After leaving Sweden, the group spent three weeks in Australia. Exports from Germany rose sharply while Mexico reported a decline.","{""Argentina"": 1, ""Australia"": 2, ""Egypt"": 1, ""Germany"": 1, ""Kenya"": 1, ""Mexico"": 1, ""Sweden"": 1}"
48,4,"The documentary contrasted life in Japan with that in Australia. India and Mexico signed a joint statement on trade. After leaving Norway, the group spent three weeks in Greece. Greece and Kenya signed a joint statement on trade.","{""Australia"": 1, ""Greece"": 2, ""India"": 1, ""Japan"": 1, ""Kenya"": 1, ""Mexico"": 1, ""Norway"": 1}"
49,4,Researchers in Poland collaborated with a team based in China. Researchers in Mexico collaborated with a team based in Greece. Exports from Kenya rose sharply while Australia reported a decline. Researchers in Australia collaborated with a team based in France.,"{""Australia"": 2, ""China"": 1, ""France"": 1, ""Greece"": 1, ""Kenya"": 1, ""Mexico"": 1, ""Poland"": 1}"
50,4,Egypt and Peru signed a joint statement on trade. The delegation travelled from Kenya to Australia before the summit. Exports from India rose sharply while Chile reported a decline. Poland and India signed a joint statement on trade.,"{""Australia"": 1, ""Chile"": 1, ""Egypt"": 1, ""India"": 2, ""Kenya"": 1, ""Peru"": 1, ""Poland"": 1}"
51,4,"The delegation travelled from Greece to Chile before the summit. Poland and France signed a joint statement on trade. Brazil and Canada signed a joint statement on trade. After leaving Egypt, the group spent three weeks in Argentina.","{""Argentina"": 1, ""Brazil"": 1, ""Canada"": 1, ""Chile"": 1, ""Egypt"": 1, ""France"": 1, ""Greece"": 1, ""Poland"": 1}"
52,4,"Exports from India rose sharply while Chile reported a decline. After leaving Argentina, the group spent three weeks in China. Japan and Peru signed a joint statement on trade. The delegation travelled from India to Chile before the summit.","{""Argentina"": 1, ""Chile"": 2, ""China"": 1, ""India"": 2, ""Japan"": 1, ""Peru"": 1}"
53,4,"After leaving Germany, the group spent three weeks in Greece. After leaving Spain, the group spent three weeks in Norway. The documentary contrasted life in Argentina with that in Norway. The documentary contrasted life in Argentina with that in Brazil.","{""Argentina"": 2, ""Brazil"": 1, ""Germany"": 1, ""Greece"": 1, ""Norway"": 2, ""Spain"": 1}"
54,4,"Exports from Spain rose sharply while India reported a decline. After leaving Brazil, the group spent three weeks in Kenya. After leaving Australia, the group spent three weeks in Germany. Canada and Argentina signed a joint statement on trade.","{""Argentina"": 1, ""Australia"": 1, ""Brazil"": 1, ""Canada"": 1, ""Germany"": 1, ""India"": 1, ""Kenya"": 1, ""Spain"": 1}"
55,4,"After leaving Spain, the group spent three weeks in China. The delegation travelled from Chile to Norway before the summit. The documentary contrasted life in Egypt with that in Canada. The delegation travelled from Chile to Kenya before the summit.","{""Canada"": 1, ""Chile"": 2, ""China"": 1, ""Egypt"": 1, ""Kenya"": 1, ""Norway"": 1, ""Spain"": 1}"
56,4,Researchers in Brazil collaborated with a team based in Norway. Researchers in Canada collaborated with a team based in Australia. Researchers in Chile collaborated with a team based in Canada. Researchers in India collaborated with a team based in Poland.,"{""Australia"": 1, ""Brazil"": 1, ""Canada"": 2, ""Chile"": 1, ""India"": 1, ""Norway"": 1, ""Poland"": 1}"
57,4,"Researchers in Kenya collaborated with a team based in Japan. After leaving Japan, the group spent three weeks in Germany. After leaving Australia, the group spent three weeks in Greece. Researchers in Norway collaborated with a team based in Brazil.","{""Australia"": 1, ""Brazil"": 1, ""Germany"": 1, ""Greece"": 1, ""Japan"": 2, ""Kenya"": 1, ""Norway"": 1}"
58,4,The delegation travelled from China to Egypt before the summit. Greece and Brazil signed a joint statement on trade. Mexico and Egypt signed a joint statement on trade. Researchers in Chile collaborated with a team based in Norway.,"{""Brazil"": 1, ""Chile"": 1, ""China"": 1, ""Egypt"": 2, ""Greece"": 1, ""Mexico"": 1, ""Norway"": 1}"
59,4,Researchers in Brazil collaborated with a team based in Egypt. Italy and Peru signed a joint statement on trade. The documentary contrasted life in Brazil with that in Peru. The documentary contrasted life in Canada with that in Norway.,"{""Brazil"": 2, ""Canada"": 1, ""Egypt"": 1, ""Italy"": 1, ""Norway"": 1, ""Peru"": 2}"
60,4,Mexico and Canada signed a joint statement on trade. Exports from Japan rose sharply while India reported a decline. Researchers in Poland collaborated with a team based in Sweden. Exports from Japan rose sharply while Spain reported a decline.,"{""Canada"": 1, ""India"": 1, ""Japan"": 2, ""Mexico"": 1, ""Poland"": 1, ""Spain"": 1, ""Sweden"": 1}"
61,4,"After leaving Germany, the group spent three weeks in Brazil. The delegation travelled from Peru to Norway before the summit. The documentary contrasted life in Japan with that in Brazil. The delegation travelled from India to Australia before the summit.","{""Australia"": 1, ""Brazil"": 2, ""Germany"": 1, ""India"": 1, ""Japan"": 1, ""Norway"": 1, ""Peru"": 1}"
62,4,Kenya and China signed a joint statement on trade. The delegation travelled from Australia to Italy before the summit. The documentary contrasted life in Italy with that in Australia. The documentary contrasted life in Norway with that in Italy.,"{""Australia"": 2, ""China"": 1, ""Italy"": 3, ""Kenya"": 1, ""Norway"": 1}"
63,4,"The documentary contrasted life in Poland with that in India. The documentary contrasted life in Germany with that in Argentina. After leaving Greece, the group spent three weeks in Kenya. Exports from Norway rose sharply while Mexico reported a decline.","{""Argentina"": 1, ""Germany"": 1, ""Greece"": 1, ""India"": 1, ""Kenya"": 1, ""Mexico"": 1, ""Norway"": 1, ""Poland"": 1}"
64,4,"Exports from Greece rose sharply while Spain reported a decline. After leaving Egypt, the group spent three weeks in France. Researchers in China collaborated with a team based in Brazil. Researchers in France collaborated with a team based in Argentina.","{""Argentina"": 1, ""Brazil"": 1, ""China"": 1, ""Egypt"": 1, ""France"": 2, ""Greece"": 1, ""Spain"": 1}"
65,4,"After leaving Japan, the group spent three weeks in Sweden. After leaving Peru, the group spent three weeks in Brazil. The documentary contrasted life in Peru with that in Poland. Researchers in India collaborated with a team based in China.","{""Brazil"": 1, ""China"": 1, ""India"": 1, ""Japan"": 1, ""Peru"": 2, ""Poland"": 1, ""Sweden"": 1}"
66,4,"France and Mexico signed a joint statement on trade. The delegation travelled from India to Germany before the summit. After leaving Egypt, the group spent three weeks in India. Exports from Poland rose sharply while Norway reported a decline.","{""Egypt"": 1, ""France"": 1, ""Germany"": 1, ""India"": 2, ""Mexico"": 1, ""Norway"": 1, ""Poland"": 1}"
67,4,The delegation travelled from Brazil to Egypt before the summit. The delegation travelled from Canada to Mexico before the summit. Chile and Peru signed a joint statement on trade. The documentary contrasted life in Norway with that in Egypt.,"{""Brazil"": 1, ""Canada"": 1, ""Chile"": 1, ""Egypt"": 2, ""Mexico"": 1, ""Norway"": 1, ""Peru"": 1}"
68,4,China and Egypt signed a joint statement on trade. The delegation travelled from India to Germany before the summit. Peru and Canada signed a joint statement on trade. Exports from Argentina rose sharply while Australia reported a decline.,"{""Argentina"": 1, ""Australia"": 1, ""Canada"": 1, ""China"": 1, ""Egypt"": 1, ""Germany"": 1, ""India"": 1, ""Peru"": 1}"
69,4,Exports from India rose sharply while Mexico reported a decline. The documentary contrasted life in Canada with that in Poland. Australia and France signed a joint statement on trade. The documentary contrasted life in Australia with that in Chile.,"{""Australia"": 2, ""Canada"": 1, ""Chile"": 1, ""France"": 1, ""India"": 1, ""Mexico"": 1, ""Poland"": 1}"
70,4,"Researchers in Australia collaborated with a team based in Mexico. The documentary contrasted life in Norway with that in Canada. After leaving Greece, the group spent three weeks in Poland. The delegation travelled from China to Egypt before the summit.","{""Australia"": 1, ""Canada"": 1, ""China"": 1, ""Egypt"": 1, ""Greece"": 1, ""Mexico"": 1, ""Norway"": 1, ""Poland"": 1}"
71,4,"Australia and Argentina signed a joint statement on trade. After leaving China, the group spent three weeks in Argentina. The documentary contrasted life in Peru with that in Greece. The delegation travelled from Australia to Germany before the summit.","{""Argentina"": 2, ""Australia"": 2, ""China"": 1, ""Germany"": 1, ""Greece"": 1, ""Peru"": 1}"
72,4,The documentary contrasted life in Sweden with that in Italy. Egypt and Peru signed a joint statement on trade. Brazil and Japan signed a joint statement on trade. The delegation travelled from Argentina to Sweden before the summit.,"{""Argentina"": 1, ""Brazil"": 1, ""Egypt"": 1, ""Italy"": 1, ""Japan"": 1, ""Peru"": 1, ""Sweden"": 2}"
73,4,"The documentary contrasted life in Canada with that in Chile. After leaving Chile, the group spent three weeks in Germany. The documentary contrasted life in Japan with that in France. Researchers in China collaborated with a team based in Egypt.","{""Canada"": 1, ""Chile"": 2, ""China"": 1, ""Egypt"": 1, ""France"": 1, ""Germany"": 1, ""Japan"": 1}"
74,4,"After leaving Australia, the group spent three weeks in Mexico. Exports from Chile rose sharply while Germany reported a decline. Researchers in Poland collaborated with a team based in Norway. The documentary contrasted life in Peru with that in Mexico.","{""Australia"": 1, ""Chile"": 1, ""Germany"": 1, ""Mexico"": 2, ""Norway"": 1, ""Peru"": 1, ""Poland"": 1}"
75,4,"After leaving Norway, the group spent three weeks in Peru. The delegation travelled from Italy to Norway before the summit. The delegation travelled from Japan to Egypt before the summit. Researchers in Egypt collaborated with a team based in Peru.","{""Egypt"": 2, ""Italy"": 1, ""Japan"": 1, ""Norway"": 2, ""Peru"": 2}"
76,4,The documentary contrasted life in Egypt with that in Japan. Researchers in Italy collaborated with a team based in Poland. Researchers in India collaborated with a team based in Italy. Researchers in Italy collaborated with a team based in Brazil.,"{""Brazil"": 1, ""Egypt"": 1, ""India"": 1, ""Italy"": 3, ""Japan"": 1, ""Poland"": 1}"
77,4,Germany and Canada signed a joint statement on trade. Germany and China signed a joint statement on trade. Mexico and France signed a joint statement on trade. Researchers in Chile collaborated with a team based in France.,"{""Canada"": 1, ""Chile"": 1, ""China"": 1, ""France"": 2, ""Germany"": 2, ""Mexico"": 1}"
78,4,The documentary contrasted life in Brazil with that in Australia. The delegation travelled from Germany to Chile before the summit. The documentary contrasted life in India with that in Egypt. Germany and Egypt signed a joint statement on trade.,"{""Australia"": 1, ""Brazil"": 1, ""Chile"": 1, ""Egypt"": 2, ""Germany"": 2, ""India"": 1}"
79,4,Researchers in India collaborated with a team based in Greece. The delegation travelled from Brazil to Canada before the summit. Brazil and France signed a joint statement on trade. Researchers in Spain collaborated with a team based in Norway.,"{""Brazil"": 2, ""Canada"": 1, ""France"": 1, ""Greece"": 1, ""India"": 1, ""Norway"": 1, ""Spain"": 1}"
80,4,The delegation travelled from Greece to Germany before the summit. The delegation travelled from Kenya to Spain before the summit. Exports from Canada rose sharply while Peru reported a decline. The documentary contrasted life in Kenya with that in Canada.,"{""Canada"": 2, ""Germany"": 1, ""Greece"": 1, ""Kenya"": 2, ""Peru"": 1, ""Spain"": 1}"
81,4,"Researchers in Chile collaborated with a team based in Canada. After leaving Italy, the group spent three weeks in Kenya. The documentary contrasted life in Greece with that in Poland. The delegation travelled from Chile to Japan before the summit.","{""Canada"": 1, ""Chile"": 2, ""Greece"": 1, ""Italy"": 1, ""Japan"": 1, ""Kenya"": 1, ""Poland"": 1}"
82,4,Researchers in Greece collaborated with a team based in India. Researchers in France collaborated with a team based in Chile. Researchers in Sweden collaborated with a team based in Japan. Researchers in Mexico collaborated with a team based in India.,"{""Chile"": 1, ""France"": 1, ""Greece"": 1, ""India"": 2, ""Japan"": 1, ""Mexico"": 1, ""Sweden"": 1}"
83,4,"After leaving Greece, the group spent three weeks in Kenya. Australia and Chile signed a joint statement on trade. Kenya and Poland signed a joint statement on trade. Exports from Mexico rose sharply while Italy reported a decline.","{""Australia"": 1, ""Chile"": 1, ""Greece"": 1, ""Italy"": 1, ""Kenya"": 2, ""Mexico"": 1, ""Poland"": 1}"
84,4,Researchers in Spain collaborated with a team based in Peru. Chile and Argentina signed a joint statement on trade. The delegation travelled from Japan to Canada before the summit. Researchers in Canada collaborated with a team based in Argentina.,"{""Argentina"": 2, ""Canada"": 2, ""Chile"": 1, ""Japan"": 1, ""Peru"": 1, ""Spain"": 1}"
85,4,Poland and India signed a joint statement on trade. Researchers in Italy collaborated with a team based in China. Brazil and Poland signed a joint statement on trade. Exports from Poland rose sharply while Italy reported a decline.,"{""Brazil"": 1, ""China"": 1, ""India"": 1, ""Italy"": 2, ""Poland"": 3}"
86,4,"Mexico and Chile signed a joint statement on trade. After leaving Greece, the group spent three weeks in Spain. Researchers in Japan collaborated with a team based in Poland. Exports from Japan rose sharply while Germany reported a decline.","{""Chile"": 1, ""Germany"": 1, ""Greece"": 1, ""Japan"": 2, ""Mexico"": 1, ""Poland"": 1, ""Spain"": 1}"
87,4,Exports from India rose sharply while Australia reported a decline. Exports from Australia rose sharply while Norway reported a decline. The delegation travelled from Egypt to Greece before the summit. The documentary contrasted life in Japan with that in Egypt.,"{""Australia"": 2, ""Egypt"": 2, ""Greece"": 1, ""India"": 1, ""Japan"": 1, ""Norway"": 1}"
88,4,"Chile and Poland signed a joint statement on trade. The documentary contrasted life in Spain with that in Kenya. Mexico and Italy signed a joint statement on trade. After leaving Kenya, the group spent three weeks in France.","{""Chile"": 1, ""France"": 1, ""Italy"": 1, ""Kenya"": 2, ""Mexico"": 1, ""Poland"": 1, ""Spain"": 1}"
